rssi,snr,ax,ay,az,wx,wy,wz,mx,my,mz,temperature,p,time,timeOfWeek,timeOFWeekFracPart,gpsFix,ecefx,ecefy,ecefz,positionAcc3D,ecefvx,ecefvy,ecefvz,speedAcc,numbSat,drogueStatus
-82,28,-976.699,-78.4314,-215.686,-0.00798948,0.0719054,-0.00692422,4647.3,-3290.48,-1746.47,27.3687,94095,277,592593600,-4,0,637813700,0,0,649519040,0,0,0,2000,0,1
-82,28,-972.816,-70.5882,-215.686,-0.00798948,0.0804275,-0.0175769,4535.18,-3445.17,-1794.64,27.3687,94098,276,592593800,-5,0,637813700,0,0,649519040,0,0,0,2000,0,1
-81,26,-976.699,-74.5098,-223.529,-0.00692422,0.0772317,-0.0175769,4647.3,-3367.82,-1794.64,27.3687,94095,276,592594000,-5,0,637813700,0,0,649519040,0,0,0,2000,0,1
-81,25,-972.816,-70.5882,-211.765,-0.0197074,0.0761664,-0.0154463,4647.3,-3329.15,-1746.47,27.3875,94107,277,592594400,-5,0,637813700,0,0,649519040,0,0,0,2000,0,1
-81,25,-976.699,-70.5882,-231.373,-0.0143811,0.0761664,-0.0186421,4535.18,-3406.5,-1746.47,27.3937,94104,276,592594600,-5,0,637813700,0,0,649519040,0,0,0,2000,0,1
-81,25,-980.583,-74.5098,-223.529,-0.0165116,0.0740359,-0.0165116,4684.67,-3329.15,-1698.31,27.3937,94110,277,592595000,-5,0,637813700,0,0,649519040,0,0,0,2000,0,1
-81,26,-992.233,-66.6667,-227.451,-0.00372843,0.0729706,-0.0175769,4722.04,-3290.48,-1794.64,27.3875,94098,276,592595200,-5,0,637813700,0,0,649519040,0,0,0,2000,0,1
-81,26,-972.816,-90.1961,-219.608,-0.0122505,0.0772317,-0.00372843,4572.55,-3445.17,-1794.64,27.4125,94091,276,592595400,-5,0,637813700,0,0,649519040,0,0,0,2000,0,1
-81,26,-976.699,-78.4314,-215.686,-0.0197074,0.0644485,-0.0133158,4722.04,-3290.48,-1746.47,27.4188,94097,277,592595800,-5,0,637813700,0,0,649519040,0,0,0,2000,0,1
-80,26,-976.699,-82.3529,-231.373,-0.00692422,0.0761664,-0.0154463,4684.67,-3290.48,-1698.31,27.3937,94097,276,592596000,-5,0,637813700,0,0,649519040,0,0,0,2000,0,1
-80,25,-968.932,-70.5882,-223.529,-0.0111853,0.0697748,-0.0186421,4535.18,-3445.17,-1794.64,27.425,94113,277,592596400,-5,0,637813700,0,0,649519040,0,0,0,2000,0,1
-80,25,-972.816,-74.5098,-219.608,-0.00692422,0.0740359,-0.0207727,4647.3,-3251.81,-1698.31,27.4188,94103,276,592596400,-5,0,637813700,0,0,649519040,0,0,0,2000,0,1
-80,24,-980.583,-98.0392,-247.059,0.0015979,0.0740359,-0.0122505,4647.3,-3290.48,-1698.31,27.4188,94088,276,592596800,-5,0,637813700,0,0,649519040,0,0,0,2000,0,1
-80,24,-980.583,-70.5882,-223.529,-0.0175769,0.0708401,-0.00905475,4609.93,-3445.17,-1746.47,27.425,94088,277,592597200,-5,0,637813700,0,0,649519040,0,0,0,2000,0,1
-81,24,-976.699,-74.5098,-215.686,-0.00372843,0.0687096,-0.0111853,4647.3,-3367.82,-1698.31,27.425,94082,276,592597400,-5,0,637813700,0,0,649519040,0,0,0,2000,0,1
-81,24,-972.816,-78.4314,-231.373,-0.0122505,0.0740359,-0.0122505,4684.67,-3251.81,-1698.31,27.425,94091,277,592597800,-5,0,637813700,0,0,649519040,0,0,0,2000,0,1
-81,24,-972.816,-74.5098,-219.608,-0.0143811,0.0676443,-0.0165116,4684.67,-3290.48,-1746.47,27.4375,94109,277,592598000,-5,0,637813700,0,0,649519040,0,0,0,2000,0,1
-81,25,-976.699,-74.5098,-219.608,-0.0143811,0.0687096,-0.0111853,4684.67,-3213.14,-1650.14,27.425,94106,277,592598200,-5,0,637813700,0,0,649519040,0,0,0,2000,0,1
-81,25,-972.816,-74.5098,-223.529,-0.00905475,0.0761664,-0.0111853,4684.67,-3329.15,-1698.31,27.4438,94091,277,592598600,-6,0,637813700,0,0,649519040,0,0,0,2000,0,1
-81,23,-980.583,-82.3529,-227.451,-0.01012,0.0719054,-0.01012,4647.3,-3367.82,-1746.47,27.45,94109,276,592598800,-6,0,637813700,0,0,649519040,0,0,0,2000,0,1
-81,25,-984.466,-70.5882,-215.686,-0.00905475,0.0740359,-0.0143811,4609.93,-3329.15,-1746.47,27.4562,94094,277,592599200,-6,0,637813700,0,0,649519040,0,0,0,2000,0,1
-81,25,-972.816,-82.3529,-215.686,-0.0143811,0.0740359,-0.0122505,4684.67,-3290.48,-1746.47,27.4562,94094,277,592599400,-6,0,637813700,0,0,649519040,0,0,0,2000,0,1
-82,26,-976.699,-70.5882,-211.765,-0.0143811,0.0708401,-0.0154463,4647.3,-3290.48,-1746.47,27.45,94091,277,592599800,-6,0,637813700,0,0,649519040,0,0,0,2000,0,1
-82,28,-980.583,-70.5882,-223.529,-0.0154463,0.0708401,-0.0133158,4684.67,-3329.15,-1746.47,27.45,94106,276,592600000,-6,0,637813700,0,0,649519040,0,0,0,2000,0,1
-82,27,-980.583,-90.1961,-227.451,-0.01012,0.0687096,-0.0133158,4647.3,-3329.15,-1794.64,27.45,94106,276,592600200,-6,0,637813700,0,0,649519040,0,0,0,2000,0,1
-82,28,-968.932,-78.4314,-227.451,-0.01012,0.0708401,-0.0122505,4647.3,-3290.48,-1794.64,27.4375,94100,277,592600600,-6,0,637813700,0,0,649519040,0,0,0,2000,0,1
-82,26,-968.932,-78.4314,-231.373,-0.00479369,0.0761664,-0.0165116,4684.67,-3290.48,-1746.47,27.4562,94109,276,592600800,-6,0,637813700,0,0,649519040,0,0,0,2000,0,1
-82,27,-972.816,-82.3529,-215.686,-0.0154463,0.0793622,-0.0143811,4722.04,-3329.15,-1746.47,27.4562,94100,277,592601200,-6,0,637813700,0,0,649519040,0,0,0,2000,0,1
-82,27,-968.932,-82.3529,-215.686,-0.0165116,0.0697748,-0.0133158,4647.3,-3329.15,-1746.47,27.4562,94103,276,592601400,-6,0,637813700,0,0,649519040,0,0,0,2000,0,1
-82,27,-980.583,-82.3529,-219.608,-0.01012,0.0687096,-0.00692422,4647.3,-3367.82,-1650.14,27.475,94103,276,592601600,-6,0,637813700,0,0,649519040,0,0,0,2000,0,1
-82,28,-976.699,-62.7451,-227.451,-0.01012,0.0740359,-0.0175769,4684.67,-3290.48,-1698.31,27.45,94097,277,592602000,-6,0,637813700,0,0,649519040,0,0,0,2000,0,1
